index	f2	f3	f4_1	f4_2	f5_1	f5_2	f6_1	f6_2	f7_1	f7_2
100	0.006039799656718969	73.78567504882812	0.00019485254597384483	-7.24463143342291e-06	0.00019324597087688744	-7.265496151376283e-06	0.00019351139781065285	-7.275496500369627e-06	0.00020440500520635396	-8.344257366843522e-06
125	0.006738228723406792	66.17642211914062	0.00023859532666392624	-8.73749922902789e-06	0.0002395167830400169	-9.005190804600716e-06	0.00023748306557536125	-8.862590220815036e-06	0.00025309633929282427	-9.992420018534176e-06
150	0.007373184431344271	60.54547882080078	0.00028578867204487324	-1.0381049833085854e-05	0.000287605042103678	-1.0439838661113754e-05	0.0002846169809345156	-1.0422852938063443e-05	0.000302086235024035	-1.2008445992250927e-05
175	0.00796093326061964	56.09082794189453	0.0003322152770124376	-1.2165977750555612e-05	0.0003339356044307351	-1.2167999557277653e-05	0.00033164393971674144	-1.2101856555091217e-05	0.0003523487539496273	-1.3969218343845569e-05
200	0.008521904237568378	52.62382507324219	0.0003765306028071791	-1.3667025996255688e-05	0.0003791585913859308	-1.3514806596504059e-05	0.00037699638050980866	-1.3437779671221506e-05	0.00040068128146231174	-1.5048156456032302e-05
225	0.00903025921434164	49.65074920654297	0.00042404280975461006	-1.5151193110796157e-05	0.0004239484842400998	-1.5525365597568452e-05	0.00042182370088994503	-1.5164259821176529e-05	0.0004504303215071559	-1.6430760297225788e-05
250	0.009515047073364258	47.14244842529297	0.0004699469718616456	-1.701811925158836e-05	0.00047268130583688617	-1.6848400264279917e-05	0.00046993864816613495	-1.6701915228622966e-05	0.0005006418214179575	-1.846278246375732e-05
275	0.009985953569412231	44.945960998535156	0.0005165862385183573	-1.863840407168027e-05	0.0005197259597480297	-1.824446371756494e-05	0.000516269588842988	-1.838749085436575e-05	0.0005486076115630567	-2.0115689039812423e-05
300	0.010460254736244678	43.07078552246094	0.0005612472305074334	-1.9714838344953023e-05	0.0005629906081594527	-1.976146813831292e-05	0.0005594738759100437	-1.951787453435827e-05	0.0005941159906797111	-2.1702559024561197e-05
325	0.010857760906219482	41.39067459106445	0.0006095907301642001	-2.170691550418269e-05	0.0006142618367448449	-2.1295107217156328e-05	0.0006106907967478037	-2.124313687090762e-05	0.0006475356058217585	-2.370899892412126e-05
350	0.011282386258244514	39.90618896484375	0.0006556456792168319	-2.317906000826042e-05	0.0006593151483684778	-2.2721322238794528e-05	0.0006555580766871572	-2.2593812900595367e-05	0.0006929925293661654	-2.586961636552587e-05
375	0.011712748557329178	38.4924430847168	0.0007030220003798604	-2.417959512968082e-05	0.0007045750389806926	-2.4309090804308653e-05	0.0006993343122303486	-2.442436925775837e-05	0.0007435585139319301	-2.6983023417415097e-05
400	0.01205237302929163	37.37576675415039	0.0007442174828611314	-2.6131341655855067e-05	0.0007493894081562757	-2.5629622541600838e-05	0.0007435469306074083	-2.60702618106734e-05	0.0007954732864163816	-2.727579339989461e-05
425	0.01244658324867487	36.33943176269531	0.0007878214819356799	-2.700667391764e-05	0.0007912036380730569	-2.705902988964226e-05	0.000786802324000746	-2.661968937900383e-05	0.0008371171425096691	-2.9773596907034516e-05
450	0.012801709584891796	35.252357482910156	0.0008366008405573666	-2.9033462851657532e-05	0.000842887966427952	-2.8481834306148812e-05	0.0008343285880982876	-2.8906699299113825e-05	0.000895401812158525	-2.9912405807408504e-05
475	0.013168439269065857	34.347572326660156	0.0008816205081529915	-3.012952220160514e-05	0.000885075656697154	-3.0189312383299693e-05	0.0008811833686195314	-2.976627911266405e-05	0.0009388648322783411	-3.222288432880305e-05
500	0.013481550849974155	33.5372428894043	0.0009310230379924178	-3.217591074644588e-05	0.0009353649220429361	-3.1487881642533466e-05	0.0009335470385849476	-3.043588367290795e-05	0.0009879055432975292	-3.54781914211344e-05
525	0.013863698579370975	32.64889144897461	0.0009758485830388963	-3.330297113279812e-05	0.0009803255088627338	-3.2750493119237944e-05	0.0009738599765114486	-3.280916280345991e-05	0.0010368848452344537	-3.560412733349949e-05
550	0.014222297817468643	31.866682052612305	0.0010217985836789012	-3.4373850212432444e-05	0.0010240268893539906	-3.457684215391055e-05	0.001019507646560669	-3.4443422919139266e-05	0.0010864161886274815	-3.7276338844094425e-05
575	0.014496374875307083	31.23613166809082	0.0010711129289120436	-3.6506909964373335e-05	0.001072294544428587	-3.664951509563252e-05	0.00107620342168957	-3.463405664660968e-05	0.001136663369834423	-4.002480272902176e-05
600	0.014879711903631687	30.5164852142334	0.0011183214373886585	-3.7456618883879855e-05	0.0011164017487317324	-3.7770507333334535e-05	0.0011177618289366364	-3.652003942988813e-05	0.001185114961117506	-4.043749504489824e-05
625	0.015118211507797241	29.878190994262695	0.0011710680555552244	-4.038363476865925e-05	0.0011783814989030361	-3.9240814658114687e-05	0.0011781830107793212	-3.848613778245635e-05	0.0012479893630370498	-4.253804581821896e-05
650	0.015478757210075855	29.30563735961914	0.0012140547623857856	-4.084510146640241e-05	0.0012189751723781228	-4.0155598981073126e-05	0.0012185487430542707	-3.933440530090593e-05	0.0012862258590757847	-4.474473462323658e-05
675	0.015789296478033066	28.726686477661133	0.0012619402259588242	-4.2409203160787e-05	0.0012640404747799039	-4.221376002533361e-05	0.001262056641280651	-4.1340052121086046e-05	0.0013402221957221627	-4.4941411033505574e-05
700	0.01613490842282772	28.208709716796875	0.0013064694358035922	-4.2814128391910344e-05	0.001305291778407991	-4.3156000174349174e-05	0.0013071367284283042	-4.186873775324784e-05	0.0013836007565259933	-4.642444764613174e-05
