idx	lri_path	focal_length_mm	depth_width	depth_height	depth_min	depth_max	depth_mean	depth_std	depth_nonzero_count	depth_nonzero_mean	proto_size	proto_notable_floats	factory_cameras	factory_fx_values
0	L16_00001.lri	35	520	390	-16777216	-1	-11283504.29954142	3729949.1090867864	202800	-11283504.29954142	82	3186.67|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
1	L16_00110.lri	28	652	489	-16777216	-1	-11072219.151147326	3844697.2159205	318828	-11072219.151147326	82	5940.96|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
2	L16_00218.lri	80	484	363	-16777216	-8222572	-13015149.773979465	1460814.7073149171	175692	-13015149.773979465	82	6524.38|15.23	B2,B4,B5,C5,B1,B3,C2,C1,C3,C4,C6	
3	L16_00326.lri	37	488	366	-16777216	-1114113	-9562202.959055586	3481039.961715189	178608	-9562202.959055586	82	6178.15|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
4	L16_00434.lri	150	260	195	-15196629	-2240573	-6903565.588796844	2258730.956063589	50700	-6903565.588796844	82	5357.46|15.23	B2,B4,B5,C5,B1,B3,C2,C1,C3,C4,C6	
5	L16_00542.lri	71	544	408	-16777216	-6055810	-11540009.88775501	2935362.1398745836	221952	-11540009.88775501	82	4685.62|15.23	B2,B4,B5,C5,B1,B3,C2,C1,C3,C4,C6	
6	L16_00652.lri	150	260	195	-16777216	-3819091	-8041352.5576725835	1653586.627860421	50700	-8041352.5576725835	82	5845.63|15.23	B2,B4,B5,C5,B1,B3,C2,C1,C3,C4,C6	
7	L16_00766.lri	150	260	195	-16777216	-1	-13358651.614477318	4052344.693582302	50700	-13358651.614477318	82	2804.79|2.00	B2,B4,B5,C5,B1,B3,C2,C1,C3,C4,C6	
8	L16_00880.lri	28	652	489	-16777216	-1	-10216813.838267028	4239951.991644267	318828	-10216813.838267028	82	5353.30|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
9	L16_00991.lri	35	520	390	-16777216	-771	-11869363.561962524	2880286.5994734266	202800	-11869363.561962524	82	5292.13|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
10	L16_01100.lri	150	260	195	-16711680	-213876	-6262391.505798817	4997503.485080645	50700	-6262391.505798817	82	4509.59|15.23	B2,B4,B5,C5,B1,B3,C2,C1,C3,C4,C6	
11	L16_01143.lri	35	520	390	-15136256	-2305601	-8674929.12545365	1992265.6823263485	202800	-8674929.12545365	82	4983.51|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
12	L16_01251.lri	28	652	489	-16777216	-1130844	-10379092.863424793	4460108.885025272	318828	-10379092.863424793	82	5676.22|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
13	L16_01372.lri	150	260	195	-16777216	-1	-14503390.314714003	2016255.9818863024	50700	-14503390.314714003	82	4102.85|15.23	B2,B4,B5,C5,B1,B3,C2,C1,C3,C4,C6	
14	L16_00021.lri	28	652	489	-16777216	-1	-8994723.066644084	4494931.327549599	318828	-8994723.066644084	116	4974.15|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
15	L16_00289.lri	35	520	390	-16777216	-2843	-13393516.473101579	2166153.2449066117	202800	-13393516.473101579	115	-2177.32|-5.41	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
16	L16_01618.lri	35	520	390	-16777216	-1	-13785768.863303747	2115043.8203022936	202800	-13785768.863303747	82	2941.99|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
17	L16_01704.lri	35	520	390	-16691890	-1	-12195028.367820513	2263364.4083918068	202800	-12195028.367820513	82	7484.13|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
18	L16_01753.lri	28	652	489	-16777216	-1	-9876190.005595494	4809247.336536866	318828	-9876190.005595494	82	4819.47|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
19	L16_01805.lri	150	260	195	-16777216	-922122	-4074373.9272583826	3715632.6326105464	50700	-4074373.9272583826	82	6087.91|15.23	B2,B4,B5,C5,B1,B3,C2,C1,C3,C4,C6	
20	L16_00770.lri	149	260	195	-16777216	-1	-13750972.661715977	3644294.74068981	50700	-13750972.661715977	82	5533.91|15.23	B2,B4,B5,C5,B1,B3,C2,C1,C3,C4,C6	
21	L16_00879.lri	90	428	321	-16775651	-1	-7682386.43257053	3658489.43196552	137388	-7682386.43257053	82	5586.75|15.23	B2,B4,B5,C5,B1,B3,C2,C1,C3,C4,C6	
22	L16_00988.lri	48	372	279	-16777216	-1	-9469924.93856708	5541886.108288157	103788	-9469924.93856708	82	5089.75|15.22		
23	L16_01859.lri	28	652	489	-16777216	-1	-6456238.045300287	5350206.417246554	318828	-6456238.045300287	82	4969.00|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
24	L16_01166.lri	35	520	390	-16777216	-1	-9713980.591079881	3833653.186795882	202800	-9713980.591079881	82	5408.96|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
25	L16_01274.lri	28	652	489	-16777216	-1	-7409368.372555108	5525480.203041978	318828	-7409368.372555108	82	4834.58|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
26	L16_01385.lri	35	520	390	-16777216	-1	-10989165.78959073	3730778.0853628768	202800	-10989165.78959073	82	3648.22|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
27	L16_01453.lri	28	652	489	-16777216	-1	-7229435.62106214	4947411.9953163145	318828	-7229435.62106214	82	4663.00|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
28	L16_02007.lri	35	520	390	-16777216	-1	-13049671.856321499	3284684.5337252915	202800	-13049671.856321499	82	2515.06|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
29	L16_02061.lri	28	652	489	-16777216	-1	-14413032.88600123	3318179.5362552786	318828	-14413032.88600123	82	5722.50|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
30	L16_02170.lri	28	652	489	-16777216	-1	-16598074.41112763	1208774.159646277	318828	-16598074.41112763	82	4021.06|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
31	L16_01549.lri	28	652	489	-16777216	-1	-8224880.549826238	4337884.643033468	318828	-8224880.549826238	82	4701.25|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
32	L16_02274.lri	75	520	390	-16777216	-1	-7506200.274063116	4409632.695239592	202800	-7506200.274063116	82	6069.05|15.23	B2,B4,B5,C5,B1,B3,C2,C1,C3,C4,C6	
33	L16_01752.lri	35	520	390	-16777216	-6	-7586504.755187376	4943841.223662877	202800	-7586504.755187376	82	4868.77|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
34	L16_01892.lri	28	652	489	-16768225	-1	-5136615.818858444	5146691.237725871	318828	-5136615.818858444	82	4782.49|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
35	L16_02095.lri	28	652	489	-16777216	-1	-4525268.9817895545	4740610.654184029	318828	-4525268.9817895545	82	4869.21|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
36	L16_02353.lri	75	520	390	-16777216	-1	-13361803.134418147	1574316.0008429105	202800	-13361803.134418147	82	7400.14|15.23	B2,B4,B5,C5,B1,B3,C2,C1,C3,C4,C6	
37	L16_02452.lri	35	520	390	-16514048	-1	-4640973.809802761	4767761.203835595	202800	-4640973.809802761	82	4641.54|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
38	L16_02710.lri	35	520	390	-16777216	-1	-10283256.056079881	4215768.748597385	202800	-10283256.056079881	82	2484.43|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
39	L16_02606.lri	35	520	390	-16777216	-1	-11169366.964990137	3980597.340503126	202800	-11169366.964990137	82	4868.56|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
40	L16_02715.lri	149	260	195	-16777216	-1	-13650984.827633137	3287813.0153352804	50700	-13650984.827633137	82	4725.90|102.77|15.23	B2,B4,B5,C5,B1,B3,C2,C1,C3,C4,C6	
41	L16_02809.lri	149	260	195	-16776192	-1	-9630103.414674556	3366393.956113241	50700	-9630103.414674556	82	4193.43|15.23	B2,B4,B5,C5,B1,B3,C2,C1,C3,C4,C6	
42	L16_02917.lri	75	520	390	-16777216	-1	-13418823.926740631	2688048.934992066	202800	-13418823.926740631	82	5162.04|15.23	B2,B4,B5,C5,B1,B3,C2,C1,C3,C4,C6	
43	L16_03032.lri	74	524	393	-16777216	-1	-10953370.367990404	3621151.630621447	205932	-10953370.367990404	82	5419.40|15.23	B2,B4,B5,C5,B1,B3,C2,C1,C3,C4,C6	
44	L16_03141.lri	35	520	390	-16777216	-1	-4314761.916129191	4697361.816697486	202800	-4314761.916129191	82	4880.47|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
45	L16_02867.lri	63	288	216	-14605023	-1	-4617451.434799382	2700778.810827064	62208	-4617451.434799382	82	4954.42|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
46	L16_03103.lri	126	308	231	-16777216	-1	-11548925.651248103	2528062.6429678784	71148	-11548925.651248103	82	4831.68|15.23	B2,B4,B5,C5,B1,B3,C2,C1,C3,C4,C6	
47	L16_05035.lri		260	195	-16776960	-1	-9984182.365384616	2920985.9298074804	50700	-9984182.365384616	82	4881.83|15.23		
48	L16_03302.lri	35	520	390	-16777216	-1	-15345775.577179488	3518185.925624923	202800	-15345775.577179488	82	3205.98|15.22	A1,A5,B2,B4,B5,A2,A3,A4,B1,B3	
49	L16_03411.lri	149	260	195	-16777216	-3868	-11708942.281617356	3813704.574196683	50700	-11708942.281617356	82	4532.57|275.82|15.23	B2,B4,B5,C5,B1,B3,C2,C1,C3,C4,C6	
